,track_name,artists,artist_utama,track_genre,popularity,explicit,danceability,energy,valence,duration_min,positivity_index
56,Lemon,Kenshi Yonezu,Kenshi Yonezu,J-Pop,70,false,0.525,0.646,0.373,4.26,0.241
57,ムーンソング,[Alexandros],Alexandros,J-Rock,0,false,0.538,0.919,0.658,4.34,0.605
58,Mixed Nuts,Official HIGE DANdism,Official HIGE DANDism,J-Rock,68,false,0.542,0.918,0.784,3.56,0.72
59,閃光,[Alexandros],Alexandros,J-Rock,0,false,0.546,0.971,0.473,4.37,0.459
60,遥か彼方,ASIAN KUNG-FU GENERATION,Asian Kung-Fu Generation,J-Rock,64,false,0.308,0.955,0.237,4.06,0.226
61,COLORS,FLOW,FLOW,J-Rock,62,false,0.457,0.877,0.387,3.64,0.339
62,katharsis,TK from Ling tosite sigure,Ling Tosite Sigure,J-Rock,59,false,0.555,0.828,0.391,4.44,0.324
63,明け星,LiSA,LiSA,J-Pop,61,false,0.389,0.867,0.215,4.48,0.186
64,Brave Shine,Aimer,Aimer,J-Pop,63,false,0.38,0.889,0.514,3.89,0.457
65,Touch off,UVERworld,UVERworld,J-Rock,63,false,0.411,0.894,0.195,4.31,0.174
66,ADAMAS,LiSA,LiSA,J-Pop,63,false,0.514,0.991,0.298,3.75,0.295
67,紅蓮華,LiSA,LiSA,J-Pop,56,false,0.544,0.979,0.31,3.98,0.303
68,サクラミツツキ,SPYAIR,SPYAIR,J-Rock,56,false,0.292,0.906,0.348,3.62,0.315
69,Ref:rain,Aimer,Aimer,J-Pop,60,false,0.472,0.672,0.313,4.83,0.21
70,Ao No Waltz,Eve,Eve,J-Rock,57,false,0.417,0.52,0.346,4.62,0.18
71,Inochi No Tabekata,Eve,Eve,J-Rock,60,false,0.541,0.823,0.553,3.74,0.455
72,GO!!!,FLOW,FLOW,J-Rock,63,false,0.61,0.963,0.839,3.94,0.808
73,Shinkai,Eve,Eve,J-Rock,57,false,0.621,0.778,0.602,4.44,0.468
74,Yoku,Eve,Eve,J-Rock,53,false,0.411,0.601,0.526,2.8,0.316
75,Okinimesumama,Eve,Eve,J-Rock,61,false,0.613,0.843,0.821,4.11,0.692
76,ANIMA,ReoNa,ReoNa,J-Rock,61,false,0.455,0.918,0.498,4.49,0.457
77,Torches,Aimer,Aimer,J-Pop,51,false,0.525,0.665,0.36,4.91,0.239
78,Lemon,Kenshi Yonezu,Kenshi Yonezu,J-Pop,53,false,0.532,0.661,0.446,4.27,0.295
79,Anoko secret,Eve,Eve,J-Rock,61,false,0.495,0.951,0.748,3.89,0.711
80,ODD FUTURE,UVERworld,UVERworld,J-Rock,59,false,0.699,0.8,0.561,3.77,0.449
81,Habit,SEKAI NO OWARI,Sekai no Owari,J-Pop,75,false,0.749,0.85,0.912,4.22,0.775
82,サママ・フェスティバル!,Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-Rock,42,false,0.433,0.971,0.626,4.39,0.608
83,乱舞のメロディ,SID,SID,J-Rock,60,false,0.417,0.966,0.623,3.88,0.602
84,Diver,NICO Touches the Walls,NICO Touches the Walls,J-Rock,56,false,0.334,0.915,0.478,4.15,0.437
85,Re:Re:,ASIAN KUNG-FU GENERATION,Asian Kung-Fu Generation,J-Rock,59,false,0.537,0.864,0.727,3.81,0.628
86,イマジネーション,SPYAIR,SPYAIR,J-Rock,57,false,0.481,0.938,0.589,2.99,0.552
87,ODD FUTURE short ver.,UVERworld,UVERworld,J-Rock,56,false,0.691,0.895,0.581,1.5,0.52
88,朝が来る,Aimer,Aimer,J-Pop,57,false,0.335,0.92,0.246,4.92,0.226
89,Pretender,Official HIGE DANdism,Official HIGE DANDism,J-Rock,60,false,0.538,0.869,0.369,5.45,0.321
90,サママ・フェスティバル!,Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-Rock,41,false,0.404,0.963,0.607,4.4,0.585
91,ニワカ雨ニモ負ケズ,NICO Touches the Walls,NICO Touches the Walls,J-Rock,58,false,0.38,0.951,0.664,4.36,0.631
92,嘘,SID,SID,J-Rock,60,false,0.438,0.939,0.842,3.43,0.791
93,SPARK-AGAIN,Aimer,Aimer,J-Pop,58,false,0.399,0.946,0.502,4.07,0.475
94,ODD FUTURE,UVERworld,UVERworld,J-Rock,56,false,0.694,0.795,0.556,3.77,0.442
95,ブラッドサーキュレーター,ASIAN KUNG-FU GENERATION,Asian Kung-Fu Generation,J-Rock,57,false,0.372,0.975,0.3,3.71,0.292
96,D-tecnoLife,UVERworld,UVERworld,J-Rock,60,false,0.463,0.934,0.649,3.9,0.606
97,Dark Crow,MAN WITH A MISSION,Man with a Mission,J-Rock,56,false,0.537,0.944,0.36,4.64,0.34
98,Subtitle,Official HIGE DANdism,Official HIGE DANDism,J-Rock,53,false,0.649,0.683,0.381,5.09,0.26
99,COLORS -CODE GEASS OPENING MIX-,FLOW,FLOW,J-Rock,53,false,0.524,0.815,0.638,1.56,0.52
100,ダブルシャッフル,Nana Mizuki,Nana Mizuki,J-Pop,49,false,0.664,0.928,0.53,3.48,0.492
101,往け,LiSA,LiSA,J-Pop,59,false,0.56,0.952,0.689,3.8,0.656
102,Lucky Ending,Vickeblanka,Vickeblanka,J-Pop,45,false,0.598,0.611,0.452,4.26,0.276
103,115万キロのフィルム,Official HIGE DANdism,Official HIGE DANDism,J-Rock,72,false,0.516,0.791,0.48,5.41,0.38
104,Rising Hope,LiSA,LiSA,J-Pop,57,false,0.547,0.978,0.647,4.19,0.633
105,集結の園へ,Megumi Hayashibara,Megumi Hayashibara,J-Pop,38,false,0.527,0.935,0.417,5.05,0.39
106,Signal,TK from Ling tosite sigure,Ling Tosite Sigure,J-Rock,49,false,0.433,0.91,0.303,5.33,0.276
107,Flamingo,Kenshi Yonezu,Kenshi Yonezu,J-Pop,60,false,0.76,0.668,0.913,3.27,0.61
108,死神,Kenshi Yonezu,Kenshi Yonezu,J-Pop,62,false,0.807,0.653,0.939,3.01,0.613
109,スターマーカー (Album Mix),KANA-BOON,KANA-BOON,J-Rock,57,false,0.502,0.872,0.808,3.56,0.705
110,コイワズライ,Aimer,Aimer,J-Pop,61,false,0.675,0.5,0.773,3.92,0.386
111,LOSER,Kenshi Yonezu,Kenshi Yonezu,J-Pop,62,false,0.679,0.931,0.962,4.06,0.896
112,HALLOWEEN PARTY - プペル Ver.,HYDE,HYDE,J-Rock,0,false,0.506,0.959,0.35,5.22,0.336
113,LAST STARDUST,Aimer,Aimer,J-Pop,56,false,0.473,0.845,0.223,5.31,0.188
114,Merry-Go-Round,MAN WITH A MISSION,Man with a Mission,J-Rock,56,false,0.591,0.914,0.451,4.06,0.412
115,My Dearest,supercell,Supercell,J-Pop,57,false,0.394,0.918,0.324,5.64,0.297
116,ALIVE,ClariS,ClariS,J-Pop,63,false,0.333,0.938,0.52,3.63,0.488
117,闇夜,Eve,Eve,J-Rock,50,false,0.444,0.637,0.23,3.82,0.147
118,katharsis (TV edit),TK from Ling tosite sigure,Ling Tosite Sigure,J-Rock,48,false,0.661,0.706,0.435,1.49,0.307
119,Raison Detre,Eve,Eve,J-Rock,57,false,0.54,0.802,0.553,3.7,0.444
120,First Love,Hikaru Utada,Hikaru Utada,J-Pop,65,false,0.438,0.434,0.195,4.29,0.085
121,だってアタシのヒーロー。,LiSA,LiSA,J-Pop,55,false,0.394,0.99,0.269,3.9,0.266
122,Yoruwahonoka,Eve,Eve,J-Rock,53,false,0.747,0.672,0.611,3.23,0.411
123,Outsider,Eve,Eve,J-Rock,54,false,0.526,0.885,0.847,3.46,0.75
124,ダンスホール,Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-Rock,77,false,0.736,0.695,0.784,3.39,0.545
125,Last Dance,Eve,Eve,J-Rock,58,false,0.497,0.838,0.82,4.01,0.687
126,Yesterday,Official HIGE DANdism,Official HIGE DANDism,J-Rock,53,false,0.541,0.8,0.56,4.99,0.448
127,Apoptosis - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,32,false,0.354,0.685,0.277,6.49,0.19
128,I Love...,Official HIGE DANdism,Official HIGE DANDism,J-Rock,52,false,0.546,0.663,0.407,4.71,0.27
129,Catch the Moment,LiSA,LiSA,J-Pop,58,false,0.401,0.978,0.446,4.71,0.436
130,バトンロード,KANA-BOON,KANA-BOON,J-Rock,51,false,0.361,0.946,0.39,4.67,0.369
131,紅蓮,DOES,DOES,J-Rock,53,false,0.428,0.931,0.575,4.05,0.535
132,Kokoroyohou,Eve,Eve,J-Rock,55,false,0.718,0.831,0.761,3.33,0.632
133,No title,Reol,Reol,J-Pop,57,false,0.502,0.874,0.884,4.07,0.773
134,orion,Kenshi Yonezu,Kenshi Yonezu,J-Pop,58,false,0.702,0.614,0.507,4.7,0.311
135,感電,Kenshi Yonezu,Kenshi Yonezu,J-Pop,66,false,0.633,0.723,0.688,4.41,0.497
136,Universe - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,29,false,0.51,0.868,0.593,5.67,0.515
137,No Doubt - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,21,false,0.349,0.955,0.442,4.1,0.422
138,Pending Machine - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,22,false,0.522,0.882,0.633,4.06,0.558
139,Lost In My Room - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,20,false,0.555,0.455,0.0884,6.53,0.04
140,Cry Baby - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,25,false,0.367,0.887,0.131,5.46,0.116
141,Anarchy - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,23,false,0.484,0.843,0.277,4.66,0.234
142,Stand By You - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,23,false,0.454,0.882,0.63,5.2,0.556
143,Bedroom Talk - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,24,false,0.502,0.607,0.558,3.53,0.339
144,Brothers - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,21,false,0.437,0.884,0.407,5.37,0.36
145,Fire Ground - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,20,false,0.491,0.962,0.463,4.49,0.445
146,I Love... - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,23,false,0.382,0.86,0.218,5.94,0.187
147,Pretender - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,25,false,0.491,0.786,0.251,5.75,0.197
148,Filament - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,22,false,0.516,0.894,0.299,4.06,0.267
149,Laughter - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,24,false,0.37,0.814,0.314,6.04,0.256
150,Shower - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,24,false,0.557,0.645,0.347,5.96,0.224
151,Hello - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,26,false,0.495,0.881,0.541,4.75,0.477
152,Shukumei - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,26,false,0.228,0.779,0.347,5.07,0.27
153,Itan na Star - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,20,false,0.503,0.847,0.357,6.4,0.302
154,Midori no Amayoke - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,23,false,0.562,0.484,0.458,4.02,0.222
155,1.15 Million Kilometers of Film - LIVE,Official HIGE DANdism,Official HIGE DANDism,J-Rock,26,false,0.498,0.702,0.291,6.3,0.204
156,サクラミツツキ,SPYAIR,SPYAIR,J-Rock,49,false,0.315,0.907,0.332,3.62,0.301
157,レイン,SID,SID,J-Rock,55,false,0.585,0.795,0.666,4.26,0.529
158,Yoruwahonoka,Eve,Eve,J-Rock,52,false,0.753,0.712,0.653,3.2,0.465
159,I Wanna Be...,SPYAIR,SPYAIR,J-Rock,51,false,0.437,0.869,0.588,3.92,0.511
160,oath sign,LiSA,LiSA,J-Pop,55,false,0.528,0.935,0.55,4.18,0.514
161,Tokyo Ghetto,Eve,Eve,J-Rock,56,false,0.692,0.81,0.868,4.01,0.703
162,サムライハート(Some Like It Hot!!),SPYAIR,SPYAIR,J-Rock,57,false,0.603,0.961,0.549,3.19,0.528
163,私,Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-Rock,37,false,0.484,0.618,0.464,6.13,0.287
164,One Last Kiss,Hikaru Utada,Hikaru Utada,J-Pop,58,false,0.597,0.542,0.397,4.17,0.215
165,GO!!! 〜NARUTO OPENING MIX〜,FLOW,FLOW,J-Rock,51,false,0.601,0.972,0.941,1.55,0.915
166,ないない,ReoNa,ReoNa,J-Rock,53,false,0.626,0.758,0.821,4.23,0.622
167,無心拍数 - アオアシ ver.,[Alexandros],Alexandros,J-Rock,57,false,0.493,0.967,0.514,3.52,0.497
168,Seven Deadly Sins,MAN WITH A MISSION,Man with a Mission,J-Rock,56,false,0.368,0.967,0.345,3.45,0.334
169,アフターダーク,ASIAN KUNG-FU GENERATION,Asian Kung-Fu Generation,J-Rock,57,false,0.387,0.95,0.541,3.2,0.514
170,瞬間センチメンタル,SCANDAL,SCANDAL,J-Rock,55,false,0.502,0.953,0.695,3.74,0.662
171,ホログラム,NICO Touches the Walls,NICO Touches the Walls,J-Rock,56,false,0.388,0.894,0.724,4.15,0.647
172,イマジネーション,SPYAIR,SPYAIR,J-Rock,49,false,0.486,0.936,0.551,2.96,0.516
173,生命線,ReoNa,ReoNa,J-Rock,51,false,0.422,0.67,0.551,4.26,0.369
174,TRASH CANDY,GRANRODEO,GRANRODEO,J-Rock,49,false,0.463,0.971,0.448,4.77,0.435
175,Sign -NARUTO Opening Mix-,FLOW,FLOW,J-Rock,48,false,0.384,0.855,0.749,1.56,0.64
176,イマジネーション,SPYAIR,SPYAIR,J-Rock,50,false,0.485,0.94,0.593,3,0.557
177,CORE PRIDE,UVERworld,UVERworld,J-Rock,59,false,0.482,0.97,0.441,4.31,0.428
178,Avant,Eve,Eve,J-Rock,51,false,0.542,0.793,0.573,3.4,0.454
179,Yuseiboushi,Eve,Eve,J-Rock,49,false,0.415,0.651,0.552,3.27,0.359
180,星屑ビーナス,Aimer,Aimer,J-Pop,55,false,0.521,0.621,0.377,4.2,0.234
181,馬と鹿,Kenshi Yonezu,Kenshi Yonezu,J-Pop,60,false,0.643,0.447,0.676,4.42,0.302
182,SPLASH!!!,Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-Rock,35,false,0.459,0.833,0.442,3.93,0.368
183,Leo,Eve,Eve,J-Rock,49,false,0.496,0.648,0.115,4.12,0.075
184,HARUKAZE,SCANDAL,SCANDAL,J-Rock,52,false,0.459,0.872,0.579,4.62,0.505
185,炎,LiSA,LiSA,J-Pop,51,false,0.477,0.685,0.308,4.57,0.211
186,アイネクライネ,Kenshi Yonezu,Kenshi Yonezu,J-Pop,64,false,0.471,0.868,0.811,4.8,0.704
187,Taikutsuwo Saienshinaide,Eve,Eve,J-Rock,51,false,0.674,0.723,0.557,3.81,0.403
188,Don’t Think.Feel,UVERworld,UVERworld,J-Rock,36,false,0.549,0.947,0.592,3.77,0.561
189,WaLL FloWeR,Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-Rock,35,false,0.397,0.86,0.578,4.06,0.497
190,うブ,Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-Rock,35,false,0.457,0.893,0.614,4.26,0.548
191,シャル・ウィ・ダンス?,ReoNa,ReoNa,J-Rock,57,false,0.61,0.827,0.68,4.45,0.562
192,アイム・ア・ビリーバー,SPYAIR,SPYAIR,J-Rock,53,false,0.374,0.972,0.627,3.63,0.609
193,SPARK-AGAIN,Aimer,Aimer,J-Pop,54,false,0.444,0.961,0.667,4.05,0.641
194,Bouto,Eve,Eve,J-Rock,52,false,0.547,0.774,0.705,3.75,0.546
195,Nonsense Bungaku,Eve,Eve,J-Rock,54,false,0.524,0.941,0.848,3.4,0.798
196,I beg you,Aimer,Aimer,J-Pop,53,false,0.456,0.893,0.478,4.45,0.427
197,Touch off,UVERworld,UVERworld,J-Rock,47,false,0.499,0.891,0.215,4.35,0.192
198,Kaikai Kitan,Eve,Eve,J-Rock,49,false,0.565,0.919,0.565,3.65,0.519
199,Diver,NICO Touches the Walls,NICO Touches the Walls,J-Rock,49,false,0.339,0.912,0.458,4.18,0.418
200,Yamiyo,Eve,Eve,J-Rock,47,false,0.504,0.628,0.257,3.84,0.161
201,Torch of Liberty,KANA-BOON,KANA-BOON,J-Rock,54,false,0.447,0.934,0.356,3.09,0.333
202,ないない,ReoNa,ReoNa,J-Rock,53,false,0.626,0.758,0.821,4.23,0.622
203,I Love...,Official HIGE DANdism,Official HIGE DANDism,J-Rock,43,false,0.54,0.706,0.385,4.7,0.272
204,春はゆく,Aimer,Aimer,J-Pop,52,false,0.397,0.427,0.227,5.09,0.097
205,forget-me-not,ReoNa,ReoNa,J-Rock,53,false,0.452,0.918,0.509,4.44,0.467
206,春愁,Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-Rock,65,false,0.724,0.444,0.739,3.06,0.328
207,レイン,SID,SID,J-Rock,49,false,0.597,0.793,0.641,4.27,0.508
208,M八七,Kenshi Yonezu,Kenshi Yonezu,J-Pop,65,false,0.633,0.719,0.334,4.39,0.24
209,少女S,SCANDAL,SCANDAL,J-Rock,54,false,0.588,0.881,0.887,3.19,0.781
210,マシ・マシ,NICO Touches the Walls,NICO Touches the Walls,J-Rock,50,false,0.641,0.885,0.866,4.13,0.766
211,Re:member,FLOW,FLOW,J-Rock,55,false,0.404,0.901,0.715,3.33,0.644
212,第六感,Reol,Reol,J-Pop,60,false,0.675,0.959,0.835,3.19,0.801
213,明け星,LiSA,LiSA,J-Pop,50,false,0.389,0.867,0.215,4.48,0.186
214,King & Ashley,MY FIRST STORY,My First Story,J-Rock,51,false,0.528,0.957,0.444,3.4,0.425
215,オアイコ,Aimer,Aimer,J-Pop,60,false,0.64,0.718,0.735,3.91,0.528
216,lovin',Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-Rock,34,false,0.44,0.94,0.858,2.6,0.807
217,white silence (album version),TK from Ling tosite sigure,Ling Tosite Sigure,J-Rock,44,false,0.36,0.355,0.224,6.97,0.08
218,NEW ME,LiSA,LiSA,J-Pop,53,false,0.274,0.719,0.281,4.35,0.202
219,Blind to you (Remaster for 星の消えた夜に 2022),Aimer,Aimer,J-Pop,48,false,0.502,0.488,0.42,4.69,0.205
220,Cat 2,[Alexandros],Alexandros,J-Rock,32,true,0.554,0.896,0.519,4.02,0.465
221,Kill Me If You Can,[Alexandros],Alexandros,J-Rock,32,true,0.47,0.975,0.309,4.34,0.301
222,FACTORY,Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-Rock,34,false,0.607,0.713,0.708,3.55,0.505
223,レーゾンデートル,Eve,Eve,J-Rock,53,false,0.533,0.795,0.629,3.71,0.5
224,KNOW KNOW KNOW,DOES,DOES,J-Rock,47,false,0.42,0.936,0.674,3.36,0.631
225,きらりらり,KANA-BOON,KANA-BOON,J-Rock,52,false,0.385,0.932,0.725,3.72,0.676
226,MONSTER,Reol,Reol,J-Pop,55,false,0.488,0.968,0.359,3.37,0.348
227,白銀,LiSA,LiSA,J-Pop,51,false,0.485,0.888,0.282,4.41,0.25
228,白銀,LiSA,LiSA,J-Pop,46,false,0.485,0.888,0.282,4.41,0.25
229,Snowstorm over Narvik,Division Speed,SPEED,J-Pop,19,false,0.161,0.927,0.0838,2.99,0.078
230,My Florida Sunshine,Claire Lynch,Lynch,J-Rock,22,false,0.507,0.509,0.839,3.04,0.427
231,Voices,Yo Speed,SPEED,J-Pop,14,false,0.65,0.947,0.475,5.52,0.45
232,Fx,Yo Speed,SPEED,J-Pop,12,false,0.613,0.952,0.448,5.03,0.426
233,Change,Lisa Stansfield,LiSA,J-Pop,33,false,0.663,0.643,0.79,5.64,0.508
234,Time to Make You Mine - Edit,Lisa Stansfield,LiSA,J-Pop,28,false,0.737,0.552,0.875,4.18,0.483
235,Humanity,Max Brhon,MAX,J-Pop,51,false,0.669,0.864,0.307,3.3,0.265
236,Cyberpunk,Max Brhon,MAX,J-Pop,59,false,0.529,0.979,0.088,3.58,0.086
237,Pain,Max Brhon,MAX,J-Pop,47,false,0.486,0.754,0.0854,3.74,0.064
238,The Future,Max Brhon,MAX,J-Pop,45,false,0.578,0.953,0.345,3.6,0.329
239,Redemption,Max Brhon,MAX,J-Pop,44,false,0.49,0.741,0.0793,4.09,0.059
240,Illusion,Max Brhon,MAX,J-Pop,40,false,0.575,0.856,0.0736,3.79,0.063
